"","Taxon","IUCNName","Year","IUCN_code","ID"
"12141","Naultinus """"north cape""""","Naultinus """"north cape""""",2014,"NE","Naultinus """"north cape""""_2014_Not assessed"
"12142","Naultinus """"north cape""""","Naultinus """"north cape""""",2015,"NE","Naultinus """"north cape""""_2015_Not assessed"
"12143","Naultinus """"north cape""""","Naultinus """"north cape""""",2016,"NE","Naultinus """"north cape""""_2016_Not assessed"
"12144","Naultinus """"north cape""""","Naultinus """"north cape""""",2017,"NE","Naultinus """"north cape""""_2017_Not assessed"
"12145","Naultinus """"north cape""""","Naultinus """"north cape""""",2018,"NE","Naultinus """"north cape""""_2018_Not assessed"
"12146","Naultinus """"north cape""""","Naultinus """"north cape""""",2019,"NE","Naultinus """"north cape""""_2019_Not assessed"
"12147","Naultinus """"north cape""""","Naultinus """"north cape""""",2020,"NE","Naultinus """"north cape""""_2020_Not assessed"
"12148","Naultinus """"north cape""""","Naultinus """"north cape""""",2021,"NE","Naultinus """"north cape""""_2021_Not assessed"
"12149","Naultinus """"north cape""""","Naultinus """"north cape""""",2022,"NE","Naultinus """"north cape""""_2022_Not assessed"
"12150","Naultinus """"north cape""""","Naultinus """"north cape""""",2023,"NE","Naultinus """"north cape""""_2023_Not assessed"
"12151","Naultinus punctatus","Naultinus punctatus",1997,"NE","Naultinus punctatus_1997_Not assessed"
"12152","Naultinus punctatus","Naultinus punctatus",1998,"NE","Naultinus punctatus_1998_Not assessed"
"12153","Naultinus punctatus","Naultinus punctatus",1999,"NE","Naultinus punctatus_1999_Not assessed"
"12154","Naultinus punctatus","Naultinus punctatus",2000,"NE","Naultinus punctatus_2000_Not assessed"
"12155","Naultinus punctatus","Naultinus punctatus",2001,"NE","Naultinus punctatus_2001_Not assessed"
"12156","Naultinus punctatus","Naultinus punctatus",2002,"NE","Naultinus punctatus_2002_Not assessed"
"12157","Naultinus punctatus","Naultinus punctatus",2003,"NE","Naultinus punctatus_2003_Not assessed"
"12158","Naultinus punctatus","Naultinus punctatus",2004,"NE","Naultinus punctatus_2004_Not assessed"
"12159","Naultinus punctatus","Naultinus punctatus",2005,"NE","Naultinus punctatus_2005_Not assessed"
"12160","Naultinus punctatus","Naultinus punctatus",2006,"NE","Naultinus punctatus_2006_Not assessed"
"12161","Naultinus punctatus","Naultinus punctatus",2007,"NE","Naultinus punctatus_2007_Not assessed"
"12162","Naultinus punctatus","Naultinus punctatus",2008,"NE","Naultinus punctatus_2008_Not assessed"
"12163","Naultinus punctatus","Naultinus punctatus",2009,"NE","Naultinus punctatus_2009_Not assessed"
"12164","Naultinus punctatus","Naultinus punctatus",2010,"NE","Naultinus punctatus_2010_Not assessed"
"12165","Naultinus punctatus","Naultinus punctatus",2011,"NE","Naultinus punctatus_2011_Not assessed"
"12166","Naultinus punctatus","Naultinus punctatus",2012,"NE","Naultinus punctatus_2012_Not assessed"
"12167","Naultinus punctatus","Naultinus punctatus",2013,"NE","Naultinus punctatus_2013_Not assessed"
"12168","Naultinus punctatus","Naultinus punctatus",2014,"NE","Naultinus punctatus_2014_Not assessed"
"12169","Naultinus punctatus","Naultinus punctatus",2015,"NE","Naultinus punctatus_2015_Not assessed"
"12170","Naultinus punctatus","Naultinus punctatus",2016,"NE","Naultinus punctatus_2016_Not assessed"
"12171","Naultinus punctatus","Naultinus punctatus",2017,"NE","Naultinus punctatus_2017_Not assessed"
"12172","Naultinus punctatus","Naultinus punctatus",2018,"NE","Naultinus punctatus_2018_Not assessed"
"12173","Naultinus punctatus","Naultinus punctatus",2019,"VU","Naultinus punctatus_2019_VU"
"12174","Naultinus punctatus","Naultinus punctatus",2020,"VU","Naultinus punctatus_2020_VU"
"12175","Naultinus punctatus","Naultinus punctatus",2021,"VU","Naultinus punctatus_2021_VU"
"12176","Naultinus punctatus","Naultinus punctatus",2022,"VU","Naultinus punctatus_2022_VU"
"12177","Naultinus punctatus","Naultinus punctatus",2023,"VU","Naultinus punctatus_2023_VU"
"12178","Naultinus rudis","Naultinus rudis",1997,"LC","Naultinus rudis_1997_LC"
"12179","Naultinus rudis","Naultinus rudis",1998,"LC","Naultinus rudis_1998_LC"
"12180","Naultinus rudis","Naultinus rudis",1999,"LC","Naultinus rudis_1999_LC"
"12181","Naultinus rudis","Naultinus rudis",2000,"LC","Naultinus rudis_2000_LC"
"12182","Naultinus rudis","Naultinus rudis",2001,"LC","Naultinus rudis_2001_LC"
"12183","Naultinus rudis","Naultinus rudis",2002,"LC","Naultinus rudis_2002_LC"
"12184","Naultinus rudis","Naultinus rudis",2003,"LC","Naultinus rudis_2003_LC"
"12185","Naultinus rudis","Naultinus rudis",2004,"LC","Naultinus rudis_2004_LC"
"12186","Naultinus rudis","Naultinus rudis",2005,"LC","Naultinus rudis_2005_LC"
"12187","Naultinus rudis","Naultinus rudis",2006,"LC","Naultinus rudis_2006_LC"
"12188","Naultinus rudis","Naultinus rudis",2007,"LC","Naultinus rudis_2007_LC"
"12189","Naultinus rudis","Naultinus rudis",2008,"LC","Naultinus rudis_2008_LC"
"12190","Naultinus rudis","Naultinus rudis",2009,"LC","Naultinus rudis_2009_LC"
"12191","Naultinus rudis","Naultinus rudis",2010,"LC","Naultinus rudis_2010_LC"
"12192","Naultinus rudis","Naultinus rudis",2011,"LC","Naultinus rudis_2011_LC"
"12193","Naultinus rudis","Naultinus rudis",2012,"LC","Naultinus rudis_2012_LC"
"12194","Naultinus rudis","Naultinus rudis",2013,"LC","Naultinus rudis_2013_LC"
"12195","Naultinus rudis","Naultinus rudis",2014,"LC","Naultinus rudis_2014_LC"
"12196","Naultinus rudis","Naultinus rudis",2015,"LC","Naultinus rudis_2015_LC"
"12197","Naultinus rudis","Naultinus rudis",2016,"LC","Naultinus rudis_2016_LC"
"12198","Naultinus rudis","Naultinus rudis",2017,"LC","Naultinus rudis_2017_LC"
"12199","Naultinus rudis","Naultinus rudis",2018,"LC","Naultinus rudis_2018_LC"
"12200","Naultinus rudis","Naultinus rudis",2019,"EN","Naultinus rudis_2019_EN"
"12201","Naultinus rudis","Naultinus rudis",2020,"EN","Naultinus rudis_2020_EN"
"12202","Naultinus rudis","Naultinus rudis",2021,"EN","Naultinus rudis_2021_EN"
"12203","Naultinus rudis","Naultinus rudis",2022,"EN","Naultinus rudis_2022_EN"
"12204","Naultinus rudis","Naultinus rudis",2023,"EN","Naultinus rudis_2023_EN"
"12205","Naultinus stellatus","Naultinus stellatus",1997,"NE","Naultinus stellatus_1997_Not assessed"
"12206","Naultinus stellatus","Naultinus stellatus",1998,"NE","Naultinus stellatus_1998_Not assessed"
"12207","Naultinus stellatus","Naultinus stellatus",1999,"NE","Naultinus stellatus_1999_Not assessed"
"12208","Naultinus stellatus","Naultinus stellatus",2000,"NE","Naultinus stellatus_2000_Not assessed"
"12209","Naultinus stellatus","Naultinus stellatus",2001,"NE","Naultinus stellatus_2001_Not assessed"
"12210","Naultinus stellatus","Naultinus stellatus",2002,"NE","Naultinus stellatus_2002_Not assessed"
"12211","Naultinus stellatus","Naultinus stellatus",2003,"NE","Naultinus stellatus_2003_Not assessed"
"12212","Naultinus stellatus","Naultinus stellatus",2004,"NE","Naultinus stellatus_2004_Not assessed"
"12213","Naultinus stellatus","Naultinus stellatus",2005,"NE","Naultinus stellatus_2005_Not assessed"
"12214","Naultinus stellatus","Naultinus stellatus",2006,"NE","Naultinus stellatus_2006_Not assessed"
"12215","Naultinus stellatus","Naultinus stellatus",2007,"NE","Naultinus stellatus_2007_Not assessed"
"12216","Naultinus stellatus","Naultinus stellatus",2008,"NE","Naultinus stellatus_2008_Not assessed"
"12217","Naultinus stellatus","Naultinus stellatus",2009,"NE","Naultinus stellatus_2009_Not assessed"
"12218","Naultinus stellatus","Naultinus stellatus",2010,"NE","Naultinus stellatus_2010_Not assessed"
"12219","Naultinus stellatus","Naultinus stellatus",2011,"NE","Naultinus stellatus_2011_Not assessed"
"12220","Naultinus stellatus","Naultinus stellatus",2012,"NE","Naultinus stellatus_2012_Not assessed"
"12221","Naultinus stellatus","Naultinus stellatus",2013,"NE","Naultinus stellatus_2013_Not assessed"
"12222","Naultinus stellatus","Naultinus stellatus",2014,"NE","Naultinus stellatus_2014_Not assessed"
"12223","Naultinus stellatus","Naultinus stellatus",2015,"NE","Naultinus stellatus_2015_Not assessed"
"12224","Naultinus stellatus","Naultinus stellatus",2016,"NE","Naultinus stellatus_2016_Not assessed"
"12225","Naultinus stellatus","Naultinus stellatus",2017,"NE","Naultinus stellatus_2017_Not assessed"
"12226","Naultinus stellatus","Naultinus stellatus",2018,"NE","Naultinus stellatus_2018_Not assessed"
